"PlayerID","GameID","Name","minutes","Team","is_starter","matchup","description","Date"
"c8a52554-3a7d-4b99-aac5-46cc3282d58e","26915d41-81c3-4342-85e6-5e8137654041","Chet Holmgren",29.35,"OKC",1,"OKC v LAC","W 105 - 92",2024-11-02
"c8fa625d-aac5-4aa8-81a7-21f4d31cd4d4","2d5e454b-db3c-4e83-852b-4490d894b730","Jayson Tatum",33.73,"BOS",1,"CHA v BOS","W 113 - 103",2024-11-02
"c9b3cbbe-1e2a-4e9c-aec6-b3bf848c5da9","ae595060-96b6-4c28-9928-3e2246ac8624","Guerschon Yabusele",18.7,"PHI",0,"PHI v MEM","L 107 - 124",2024-11-02
"c9c4d12a-06f8-4399-b91a-87bbf22acd0c","26915d41-81c3-4342-85e6-5e8137654041","Norman Powell",31.88,"LAC",1,"OKC v LAC","L 92 - 105",2024-11-02
"cab11bf0-8224-474f-9a0e-0c9a4ab0f666","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Michael Porter Jr.",29.32,"DEN",1,"UTA v DEN","W 129 - 103",2024-11-02
"caeafee6-f1ce-42d5-b25b-697e35cdf5bd","26915d41-81c3-4342-85e6-5e8137654041","James Harden",32.43,"LAC",1,"OKC v LAC","L 92 - 105",2024-11-02
"cc83d31d-c949-4bc2-bdc6-5a66efc6120d","f8559499-b556-4802-a1ec-0aa4e8684b7a","Ryan Dunn",13.7,"PHX",0,"PHX v POR","W 103 - 97",2024-11-02
"cd3d1720-b8a8-47b8-b02c-c4a53b47f4b2","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Terrence Shannon Jr.",3.13,"MIN",0,"MIN v SAS","L 103 - 113",2024-11-02
"ce6db2ca-1398-4d76-8ae2-2f6609ff0ec6","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Blake Wesley",1.32,"SAS",0,"MIN v SAS","W 113 - 103",2024-11-02
"cec61729-dceb-47e3-ab32-73a16b09c614","f8559499-b556-4802-a1ec-0aa4e8684b7a","Kevin Durant",37.87,"PHX",1,"PHX v POR","W 103 - 97",2024-11-02
"ced32572-43b5-48ef-aeee-64bdabd90159","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Alec Burks",28.95,"MIA",0,"WAS v MIA","W 118 - 98",2024-11-02
"cfa02ba9-f8a0-418e-9c9c-63e4b4a92a5a","12f144bc-a946-4b75-9e97-6ada84792af9","Andrew Wiggins",31.33,"GSW",1,"GSW v HOU","W 127 - 121",2024-11-02
"d1c92adf-6629-4e95-a3c5-30a6ab0c8ed7","14e39d21-56c4-4643-836c-615cbead65fd","Doug McDermott",14.87,"SAC",1,"TOR v SAC","L 128 - 131",2024-11-02
"d250ea84-ba3c-41ef-b98b-80a58c4bcb90","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Jeremy Sochan",32.97,"SAS",1,"MIN v SAS","W 113 - 103",2024-11-02
"d3e1054c-6ef7-4de6-91e4-786c07ba6fd8","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Chris Paul",32.5,"SAS",1,"MIN v SAS","W 113 - 103",2024-11-02
"d6eef85f-01de-43c8-805f-1d2f50f9e987","542d9d90-d145-4a76-88d9-53bcce641c9d","Evan Mobley",31.58,"CLE",1,"CLE v MIL","W 114 - 113",2024-11-02
"d70010de-4fbd-4562-bafd-80e3bc784913","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Anthony Gill",3.27,"WAS",0,"WAS v MIA","L 98 - 118",2024-11-02
"d79ea472-f4b4-4a01-9371-b83af5dc888e","f8559499-b556-4802-a1ec-0aa4e8684b7a","Deni Avdija",32.32,"POR",1,"PHX v POR","L 97 - 103",2024-11-02
"d7c29b53-6681-4f43-9e72-18a86497b8f8","14e39d21-56c4-4643-836c-615cbead65fd","Malik Monk",38.35,"SAC",0,"TOR v SAC","L 128 - 131",2024-11-02
"d8275514-760f-4325-a304-865368dc04ac","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Marvin Bagley III",4.05,"WAS",0,"WAS v MIA","L 98 - 118",2024-11-02
"d8eed145-84e9-4e07-b599-a7ac9fc918a0","12f144bc-a946-4b75-9e97-6ada84792af9","Lindy Waters III",17.47,"GSW",0,"GSW v HOU","W 127 - 121",2024-11-02
"dd01fac7-8aba-4618-8dbb-6ad4b7c14992","d5c2e49b-c74a-4fd1-9a83-69a2761e28b3","Naz Reid",26.25,"MIN",0,"MIN v SAS","L 103 - 113",2024-11-02
"dd72fcdc-a1c6-4fc4-8446-6ba5d792893a","ca41e145-b84c-4dfe-8c28-bbccf315cd3b","Pelle Larsson",13.63,"MIA",0,"WAS v MIA","W 118 - 98",2024-11-02
"de9e1b1f-a690-4054-8f94-0fbde4d396c2","542d9d90-d145-4a76-88d9-53bcce641c9d","Darius Garland",33.57,"CLE",1,"CLE v MIL","W 114 - 113",2024-11-02
"dec97591-b6b2-4369-afa4-689a372ae5b5","542d9d90-d145-4a76-88d9-53bcce641c9d","Andre Jackson Jr.",15.45,"MIL",0,"CLE v MIL","L 113 - 114",2024-11-02
"e0b74293-afe9-4eb1-8d6a-d3aabcd0effc","2d5e454b-db3c-4e83-852b-4490d894b730","Sam Hauser",19.65,"BOS",0,"CHA v BOS","W 113 - 103",2024-11-02
"e0e9c22d-7067-4dad-8fca-de2cf3a3f504","26915d41-81c3-4342-85e6-5e8137654041","Ivica Zubac",28.4,"LAC",1,"OKC v LAC","L 92 - 105",2024-11-02
"e340f656-0a3c-4613-9775-47717ef1b889","31ff7b95-3aa0-4226-b3c6-cfce104924b8","Johnny Juzang",26.82,"UTA",0,"UTA v DEN","L 103 - 129",2024-11-02
"e54a3a30-fa78-458a-9f77-7e3713e51b25","ae595060-96b6-4c28-9928-3e2246ac8624","Zach Edey",21.98,"MEM",1,"PHI v MEM","W 124 - 107",2024-11-02
